assay_id,pdb_id,pubmed_id
1786632,1Q9W,14625588
1865062,3IET,20479270
1940738,4DGV,22623528
1940731,4DGY,22623528
1989476,4KRL,23791944
1989479,4KRO,23791944
1989489,4KRO,23791944
1989481,4KRP,23791944
1989478,4KRM,23791944
1989491,4KRP,23791944
2019184,4HJ0,23689510
2019468,4MXV,24248355
2019469,4MXW,24248355
1853705,2VXT,19553661
1902648,1IBG,7739045
1910913,1ACY,7511253
1903660,2CGR,7893280
1906289,1IGJ,8234291
1908020,1KNO,8524836
1906523,1GAF,8599084
1907332,1KEL,8643580
1903662,1IND,8218161
1903663,1INE,8218161
1903703,1AXS,9305839
1904344,1C12,10525411
1865819,1W72,15537658
1866656,2UZI,17568777
1967705,3KS0,20546754
1857764,3CVH,18703505
1974505,3H3B,21680730
1907645,1NCW,12742019
1907644,1ND0,12742019
1902942,3S88,22101933
1902946,2Y5T,22127694
1966326,2OTU,17450152
1966299,2OTW,17450152
1970289,4HGW,23295476
1884039,2AK1,16472740
1974358,3VI3,22451694
1974361,3VI4,22451694
1971997,4DKA,22561373
1971999,4DK6,22561373
1972000,4DK3,22561373
2007036,4M1D,23944979
1786838,3IJH,19767317
1851714,2FEE,16316975
1851715,2FED,16316975
1851716,2FEC,16316975
1842040,1TJG,15367639
1842148,1N6Q,12456667
1838983,3IDG,19740978
1838982,3IDI,19740978
1839011,3IDM,19740978
1839012,3IDN,19740978
1838985,2PW2,19740978
1838986,1U8I,19740978
1812399,1R3J,14583193
1812403,1R3L,14583193
1981935,4H0I,23733869
1981936,4H0H,23733869
1940197,3UZQ,22285214
2007965,4M5Z,24027321
2012355,4LDE,24056936
2012369,3AB0,21322055
2019472,4CAD,24291792
1822632,4PS4,20226193
1978009,4JN2,23476049
1978067,3ZLQ,23590342
1979960,4JR9,23665960
1979961,4JRE,23665960
1813783,2ARJ,16530222
1822611,3L5W,20226193
1811734,2A0L,16223877
1812581,1ZWI,16532009
1813461,2HVK,17196615
1813467,2HVJ,17196615
1813468,2DWD,17196615
1813469,2DWE,17196615
1845035,2QR0,17825836
1884019,1ZMY,16095608
1898789,1DL7,10859335
1866485,3EOB,19258452
1940202,3UZV,22285214
1940205,3UZE,22285214
1850137,2XQY,21149698
1845941,3R1G,21613622
1845222,2HRP,9150407
1842035,1Q1J,14962380
1838737,1T03,15107837
1482351,2BMK,16790434
2008228,4I0C,23919586
2021745,4KI5,24085769
2021746,4KI5,24085769
1980057,4JZN,23696737
1980058,4JZO,23696737
1978147,3U9P,22928018
1904341,1WZ1,16019026
1910664,2B2X,16597831
1910930,2R0K,18077410
1910951,2R0L,18077410
1907831,3BT2,18376415
1903111,3FO0,19846764
1849260,3K2M,20357770
1854106,2XTJ,20959675
1972979,4HWB,23384096
1972911,2LTQ,23416557
1973027,2YPV,23396847
1973825,4HIX,23416764
1852651,2HTL,16949616
1852663,2H2P,16905147
1852664,2H2S,16905147
1852665,2EXW,16341087
1852666,2EXY,16341087
1852667,2EZ0,16341087
1861070,3K80,20969962
1884690,3PHQ,21543444
1861048,3K7U,20969962
1511861,1BJ1,9753694
1903119,3FO2,19846764
1903120,3FO1,19846764
1786841,3IJY,19767317
1786840,3IJS,19767317
1813244,2QQN,17989695
1982263,4HT1,23667509
1981892,4HGK,23632026
